rating_score,critic_likes,critic_comments,movie_release_year,movie_popularity,total_number_of_lists,total_list_comments,total_list_followers,total_list_movie_number,avg_list_comments,avg_list_followers,avg_list_movie_number
3.0,0,0,2008.0,77.0,2,0,1,114,0.0,0.5,57.0
5.0,0,0,2008.0,77.0,7,0,0,61,0.0,0.0,8.714285714285714
5.0,0,0,2008.0,77.0,1,0,0,1,0.0,0.0,1.0
2.0,0,0,2008.0,77.0,8,5,144,2421,0.625,18.0,302.625
5.0,0,0,2008.0,77.0,1,0,0,15,0.0,0.0,15.0
5.0,0,0,2008.0,77.0,1,0,0,124,0.0,0.0,124.0
3.0,0,0,2008.0,77.0,1,0,0,32,0.0,0.0,32.0
4.0,0,0,2008.0,77.0,1,0,0,10,0.0,0.0,10.0
5.0,1,0,2008.0,77.0,5,0,11,246,0.0,2.2,49.2
3.0,0,0,2008.0,77.0,2,0,2,40,0.0,1.0,20.0
5.0,0,0,2008.0,77.0,1,0,1,5,0.0,1.0,5.0
4.0,0,0,2008.0,77.0,1,0,3,1,0.0,3.0,1.0
3.0,0,0,2008.0,77.0,7,0,2,201,0.0,0.2857142857142857,28.714285714285715
4.0,1,0,2008.0,77.0,2,15,63,373,7.5,31.5,186.5
5.0,0,0,2008.0,77.0,1,0,1,45,0.0,1.0,45.0
3.0,0,0,2008.0,77.0,3,4,21,58,1.3333333333333333,7.0,19.333333333333332
3.0,0,0,2008.0,77.0,20,50,2463,6191,2.5,123.15,309.55
4.0,0,0,2008.0,77.0,6,0,1,164,0.0,0.16666666666666666,27.333333333333332
2.0,0,0,2008.0,77.0,1,0,0,1,0.0,0.0,1.0
3.0,0,0,2008.0,77.0,1,0,25,63,0.0,25.0,63.0
4.0,0,0,2008.0,77.0,1,0,0,177,0.0,0.0,177.0
2.0,0,0,2008.0,77.0,5,4,34,269,0.8,6.8,53.8
3.0,0,0,2008.0,77.0,2,0,2,51,0.0,1.0,25.5
4.0,1,0,2008.0,77.0,15,114,467,1023,7.6,31.133333333333333,68.2
4.0,0,0,2008.0,77.0,60,321,355,7419,5.35,5.916666666666667,123.65
2.0,0,0,2008.0,77.0,12,2,3,765,0.16666666666666666,0.25,63.75
5.0,1,0,2008.0,77.0,1,0,3,186,0.0,3.0,186.0
3.0,0,0,2008.0,77.0,5,2,7,127,0.4,1.4,25.4
4.0,0,0,2008.0,77.0,13,0,0,97,0.0,0.0,7.461538461538462
4.0,0,0,2008.0,77.0,12,0,0,155,0.0,0.0,12.916666666666666
5.0,0,0,2008.0,77.0,7,0,0,72,0.0,0.0,10.285714285714286
4.0,0,0,2008.0,77.0,1,0,0,18,0.0,0.0,18.0
3.0,0,0,2008.0,77.0,8,2,1,94,0.25,0.125,11.75
4.0,0,0,2008.0,77.0,16,0,26,906,0.0,1.625,56.625
4.0,0,0,2008.0,77.0,5,0,1,47,0.0,0.2,9.4
3.0,0,0,2008.0,77.0,15,2,155,611,0.13333333333333333,10.333333333333334,40.733333333333334
2.0,0,0,2008.0,77.0,1,0,0,5,0.0,0.0,5.0
4.0,1,0,2008.0,77.0,13,9,130,1424,0.6923076923076923,10.0,109.53846153846153
5.0,0,0,2008.0,77.0,2,0,3,85,0.0,1.5,42.5
5.0,0,0,2008.0,77.0,1,0,0,2,0.0,0.0,2.0
4.0,0,0,2008.0,77.0,2,3,4,59,1.5,2.0,29.5
4.0,0,0,2008.0,77.0,1,0,0,16,0.0,0.0,16.0
2.0,0,0,2008.0,77.0,1,2,0,5,2.0,0.0,5.0
4.0,0,0,2008.0,77.0,1,2,11,40,2.0,11.0,40.0
3.0,0,0,2008.0,77.0,2,1,11,160,0.5,5.5,80.0
3.0,0,0,2008.0,77.0,2,0,1,19,0.0,0.5,9.5
4.0,0,0,2008.0,77.0,2,0,17,55,0.0,8.5,27.5
4.0,0,0,2008.0,77.0,2,0,0,6,0.0,0.0,3.0
4.0,0,0,2008.0,77.0,1,0,27,111,0.0,27.0,111.0
5.0,0,0,2008.0,77.0,1,0,20,74,0.0,20.0,74.0
4.0,0,0,2008.0,77.0,7,0,3,335,0.0,0.42857142857142855,47.857142857142854
3.0,0,0,2008.0,77.0,13,30,1145,2890,2.3076923076923075,88.07692307692308,222.30769230769232
4.0,0,0,2008.0,77.0,1,1,10,28,1.0,10.0,28.0
3.0,0,0,2008.0,77.0,10,3,64,532,0.3,6.4,53.2
4.0,0,0,2008.0,77.0,9,0,3,768,0.0,0.3333333333333333,85.33333333333333
4.0,0,0,2008.0,77.0,32,5,30,2271,0.15625,0.9375,70.96875
4.0,0,0,2008.0,77.0,4,30,209,88,7.5,52.25,22.0
4.0,0,0,2008.0,77.0,23,7,60,820,0.30434782608695654,2.608695652173913,35.65217391304348
4.0,0,0,2008.0,77.0,4,0,36,170,0.0,9.0,42.5
4.0,0,0,2008.0,77.0,4,1,27,531,0.25,6.75,132.75
3.0,0,0,2008.0,77.0,1,0,5,60,0.0,5.0,60.0
4.0,0,0,2008.0,77.0,1,0,0,30,0.0,0.0,30.0
4.0,0,0,2008.0,77.0,1,0,0,10,0.0,0.0,10.0
3.0,0,0,2008.0,77.0,1,1,2,10,1.0,2.0,10.0
3.0,0,0,2008.0,77.0,10,0,1,388,0.0,0.1,38.8
5.0,2,0,2008.0,77.0,4,0,2,12,0.0,0.5,3.0
4.0,0,0,2008.0,77.0,7,2,40,670,0.2857142857142857,5.714285714285714,95.71428571428571
4.0,0,0,2008.0,77.0,1,0,3,8,0.0,3.0,8.0
3.0,0,0,2008.0,77.0,5,0,7,187,0.0,1.4,37.4
4.0,0,0,2008.0,77.0,1,0,0,10,0.0,0.0,10.0
